title,ingredients,instructions,yield,time,notes,author,source_url,error
Hoisin-Turkey Meatballs With Glass Noodles,"['Neutral oil (for greasing)', '½ cup red or white quinoa, rinsed', 'Kosher salt', '3 garlic cloves, finely chopped', '1 1"" piece ginger, peeled, finely chopped', '½ tsp. crushed red pepper flakes', '5 Tbsp. hoisin sauce, divided', '1 lb. ground turkey', '4 oz. dried glass noodles', '2 Tbsp. soy sauce', '3 garlic cloves, finely chopped', '1 1"" piece ginger, peeled, finely chopped', '1 Tbsp. toasted sesame oil', '1 Tbsp. unseasoned rice vinegar', '2 tsp. sugar', '2 Tbsp. vegetable oil, divided', '2 cups sliced snap peas and/or snow peas', '2 small zucchini, cut into matchsticks (about 4 cups)', '1 cup mung bean sprouts (optional)', 'Kosher salt (optional)', 'Sliced scallions, toasted sesame seeds, and lime wedges (for serving)']","['Preheat oven to 375°. Grease a large rimmed baking sheet with oil. Cook quinoa in a small pot of boiling salted water until tender, 15–18 minutes; drain. Let cool slightly.', 'Meanwhile, mix garlic, ginger, red pepper flakes, and 3 Tbsp. hoisin in a medium bowl. Add quinoa, turkey, and a large pinch of salt. Stir to combine. Using oiled hands, roll into 16–18 2"" balls (they will seem very soft but will firm up as they bake) and place on prepared baking sheet. Bake meatballs until lightly browned and nearly cooked through, 15–18 minutes. Brush remaining 2 Tbsp. hoisin over meatballs. Continue to bake until hoisin has set into a glaze, 3–5 minutes longer.', 'Cook noodles according to package directions. Mix soy sauce, garlic, ginger, sesame oil, vinegar, and sugar in a small bowl until sugar dissolves; set sauce aside.', 'Heat 1 Tbsp. vegetable oil in a large nonstick skillet over medium-high. Add peas and cook, tossing occasionally, just until they become bright green and partly tender, about 2 minutes. Transfer to a plate. Add remaining 1 Tbsp. oil to skillet along with zucchini and cook, tossing frequently, until al dente, about 1 minute. Add reserved sauce, followed by noodles, sprouts (if using), and peas. Cook, tossing often, just until noodles and vegetables are coated in sauce, about 2 minutes. Season with salt, if needed.', 'Divide noodle mixture among plates. Top with meatballs, scallions, sesame seeds, and a squeeze of lime juice.']",4 servings,"{'prep': None, 'cook': '30-36 minutes', 'total': None}","Putting quinoa in meatballs might sound weird, but trust us, it keeps these meatballs light as air.",Bridget Vanaman,https://www.bonappetit.com/recipe/hoisin-turkey-meatballs-with-glass-noodles?utm_campaign=likeshopme&mbid=social_instagram_healthyish&utm_medium=instagram&utm_source=www.instagram.com/p/Bk-Q_BTH8R4/&utm_content=www.instagram.com/p/Bk-Q_BTH8R4/,
Grilled Serrano Salsa Verde,"['6–8 serrano chiles', '1 bunch basil', '1 bunch cilantro', '1 bunch parsley', '1¼ cups extra-virgin olive oil', '½ cup sherry vinegar or red wine vinegar', '2½ tsp. kosher salt']","['Prepare a grill for medium-high heat. Thread chiles onto skewer and grill, turning often, until charred and softened, about 6 minutes. Let cool; remove stems.', 'Meanwhile, pluck leaves from basil and leaves and tender stems from cilantro and parsley. (You should have about 2 cups of each herb.)', 'Pulse chiles, basil, cilantro, and parsley in a food processor until finely chopped. Add oil, vinegar, and salt and pulse until a thick, slightly textured sauce forms.', 'Sauce can be made 1 day ahead. Cover and chill. Bring to room temperature before serving.']",Makes about 2 cups,"{'prep': None, 'cook': '6 minutes', 'total': None}","Grilling the chiles tames their heat a bit and adds a nice smoky flavor to this green sauce recipe. You can also fine-tune the heat by using fewer or more chiles, depending on the intensity of the ones you have and your personal taste.",Anna Stockwell,https://www.bonappetit.com/recipe/grilled-serrano-salsa-verde,
"Skillet Cod, Clams, and Corn with Parsley","['1¼ lb. skinless cod fillet, cut into 4 pieces, patted dry', 'Kosher salt, freshly ground pepper', '⅓ cup all-purpose flour', '4 Tbsp. extra-virgin olive oil, divided', '1 large shallot, finely chopped', '⅓ cup dry white wine', '12 littleneck clams, scrubbed', '2 medium ears of corn, kernels cut from cobs (1–1¼ cups)', '3 Tbsp. unsalted butter, cut into pieces', '¼ cup chopped parsley', 'Lemon wedges (for serving)']","['Season cod all over with salt and pepper. Sprinkle flour over a large plate and, working one at a time, press side of fillet where skin used to be into flour to thoroughly coat. Tap off excess and set on a platter, flour side up.', 'When buying a big portion of cod or other skinless fish, you’ll often end up with the skinny tail end. Keep it from overcooking by folding the tail end underneath itself to create a piece that’s closer in thickness to the rest of the fillets. Then proceed to cook it as you would any other piece.', 'Heat 2 Tbsp. oil in a large nonstick skillet with a tight-fitting lid over medium. Cook cod, floured side down, shaking skillet occasionally to prevent sticking, until flesh is opaque and starting to flake around the sides and underside is golden brown, 5–7 minutes. Carefully turn cod over and reduce heat to low. Cook until cooked all the way through, about 2 minutes. Place on platter, golden side up.', 'Turn heat back up to medium, pour remaining 2 Tbsp. oil into skillet, and cook shallot, stirring often, until tender and golden, about 2 minutes. Add wine; cook until almost completely evaporated, about 1 minute. Add clams and cover skillet. Cook until clams open, about 5 minutes. Uncover skillet and transfer clams, discarding any that didn’t open, to platter with cod.', 'Reduce heat to low and add corn and butter to skillet. Cook, stirring, until butter is melted, sauce is thick and glossy, and corn is tender, about 3 minutes. Spoon corn mixture over fish and clams. Top with parsley; squeeze lemon wedges over.']",4 servings,"{'prep': None, 'cook': '15-18 minutes', 'total': None}",Coating the cod with flour before cooking prevents the flaky fillets from tearing; any bits left in the pan will give body to the clam mixture.,Claire Saffitz,https://www.bonappetit.com/recipe/skillet-cod-clams-and-corn-with-parsley,
Everything Bagel Mac and Cheese,[],[],,"{'prep': None, 'cook': None, 'total': None}",The webpage content could not be found. The page may have been moved or deleted.,Molly Yeh,http://mynameisyeh.com/mynameisyeh/2018/7/everything-bagel-mac-and-cheese,
Coconut Rice Noodles with Ginger and Turmeric,"['Kosher salt', '5 oz. rice vermicelli', '2 Tbsp. virgin coconut oil or vegetable oil', '1 small red onion, thinly sliced', '4 garlic cloves, thinly sliced', '1 1"" piece ginger, peeled, finely grated', '1 tsp. ground turmeric', '1 tsp. coarsely ground black pepper, plus more', '1 13.5-oz. can unsweetened coconut milk', '1½ tsp. honey', '1 Tbsp. fish sauce', 'Toasted unsweetened shredded coconut (for serving)']","['Bring a large saucepan of salted water to a boil. Remove from heat; add noodles. Let sit, stirring occasionally, until al dente, about 4 minutes (time may vary by brand). Drain and rinse under cold running water.', 'Meanwhile, heat oil in a large saucepan over medium. Cook onion and garlic, stirring often, until softened and golden, about 3 minutes. Add ginger, turmeric, and 1 tsp. pepper and cook, stirring, just until fragrant, about 1 minute. Add coconut milk, honey, and ¼ cup water. Bring to a simmer; cook until flavors come together, about 5 minutes.', 'Mix fish sauce and noodles into broth; season with salt if needed. Divide among bowls and top with shredded coconut and more pepper.']",4 servings,"{'prep': None, 'cook': '8 minutes', 'total': None}","Blooming the ginger, turmeric, and black pepper in oil is essential for releasing their aromatic properties into the coconut milk-based sauce.",Chris Morocco,https://www.bonappetit.com/recipe/coconut-rice-noodles-with-ginger-and-turmeric?utm_campaign=likeshopme&mbid=social_instagram&utm_medium=instagram&utm_source=www.instagram.com/p/BlIippxnmvo/&utm_content=www.instagram.com/p/BlIippxnmvo/,
Best Mexican Street Corn Recipes (Elotes),"['corn', 'mayonnaise', 'cotija cheese', 'lime', 'chili powder', 'avocado', 'red bell pepper', 'Parmesan cheese', 'bow tie pasta', 'cilantro', 'crumbled cheese', 'bacon']","['Mix corn, mayonnaise, cotija cheese, lime, and chili powder.', 'For salad: Add avocado and red bell pepper.', 'For casserole: Stir in Parmesan cheese and bake.', 'For pasta salad: Dress bow tie pasta with chili-lime dressing, cilantro, crumbled cheese, bacon, and avocado.', 'For pizza: Bake on a pizza crust with grilled toppings.', 'For dip: Prepare a hot, cheesy corn dip.', 'For soup: Use a sweet corn base and flavor with lime juice, cotija, chili powder, and cilantro.', 'For in a cup: Prepare esquites with the recipe from Kitchen Gidget.']",,"{'prep': None, 'cook': None, 'total': None}","These recipes take the classic Mexican street corn flavors and present them in various forms such as salad, casserole, pasta salad, pizza, dip, soup, and in a cup.",Tasting Table Staff,https://www.tastingtable.com/cook/national/best-mexican-street-corn-recipes?utm_medium=email&utm_source=TT&utm_campaign=Daily&utm_content=Editorial,
"Fat Bombs (Keto, Vegan, No Bake)","['1/2 cup nut butter of choice or coconut butter', '1/4 cup cocoa or cacao powder', '1/4 cup melted coconut oil', 'stevia to taste, or 1 tbsp liquid sweetener of choice', 'optional: 1/8 tsp salt']","['Stir all ingredients together until smooth.', 'If too dry (depending on nut butter used), add additional coconut oil if needed.', 'Pour into a small container, ice cube trays, candy molds, or a silicone mini cupcake tin.', 'Freeze to set.', 'Store in the freezer as coconut oil softens when warm.']",1 recipe (depends on shape),"{'prep': '5 minutes', 'cook': None, 'total': '5 minutes'}","For coconut-free, try these Keto Chocolate Brownie Bombs.",Katie Higgins,https://chocolatecoveredkatie.com/2018/07/23/fat-bombs-recipe-keto/,
,,,,,,,https://thewoodenskillet.com/chicken-bacon-club-collard-green-wrap/,Expecting value: line 1 column 1 (char 0)
Shrimp and Basil Stir-Fry,"['3 Fresno chiles, coarsely chopped', '6 garlic cloves, smashed', '¼ cup sugar', '2 Tbsp. fish sauce', '1 tsp. kosher salt', '4 Tbsp. vegetable or grapeseed oil, divided', '1 lb. large shrimp, peeled, deveined', '2 cups basil leaves (about 1 bunch)', 'Lime wedges (for serving)']","['Blend chiles, garlic, sugar, fish sauce, salt, and 3 Tbsp. oil in a blender until smooth. Transfer marinade to a medium bowl and add shrimp; toss to coat. Let sit 10 minutes.', 'Heat remaining 1 Tbsp. oil in a large nonstick skillet over medium-high. Just when oil begins to smoke and working in batches if needed, add shrimp, leaving marinade behind, and cook, turning once, until lightly charred around the edges, about 1 minute per side. Remove pan from heat. Add basil and toss vigorously until basil is wilted.', 'Transfer shrimp mixture to a platter. Serve with lime wedges alongside.']",4 servings,"{'prep': '10 minutes', 'cook': '2 minutes', 'total': '12 minutes'}",This recipe is part of the Healthyish Farmers’ Market Challenge.,Andy Baraghani,https://www.bonappetit.com/recipe/shrimp-and-basil-stir-fry,
Hrenovuha (Horseradish-Infused Vodka),"['1 large lemon', 'One 5-inch piece fresh horseradish root, cleaned, rinsed, outer layers removed, and cut into thin ribbons (discard the inner core)', '1 liter of good quality vodka']","['Use a sharp potato or Y-Peeler to ribbon and make strips of both the lemon and the horseradish.', 'Combine the lemon ribbons, horseradish ribbons, and vodka in a large container.', 'Seal the container and let it infuse for 4 to 6 days.', 'Strain the infused vodka to remove the lemon and horseradish ribbons before serving.']",1 liter,"{'prep': '20 min', 'cook': '4/6 days of infusing', 'total': '20 min + 4/6 days of infusing'}",The pairing of lemon and horseradish mellows the harshness of the vodka.,Sasha Shor,http://www.jewishfoodsociety.org/posts/2018/7/17/the-infused-vodka-that-fuels-one-cooks-way-through-burning-man?utm_source=JFS+Newsletter+-+Blog&utm_campaign=466ea72345-EMAIL_CAMPAIGN_2017_09_28_COPY_01&utm_medium=email&utm_term=0_fe5a0fb602-466ea72345-97397905&mc_cid=466ea72345&mc_eid=95914746cb,
Poulet au Vinaigre (Chicken in Vinegar Sauce),"['3 tablespoon clarified unsalted butter (see Note) or 2 tablespoon unsalted butter and 1 tablespoon peanut oil', '4 unpeeled garlic cloves', '1 (2 1/2- to 3-pound) whole chicken, cut into 10 pieces', 'Kosher salt', 'Freshly ground black pepper', '1/2 cup mild white wine vinegar or rice vinegar', '3/4 pound very ripe red tomatoes, peeled, cored, seeded, and cut into 1/4-inch pieces (about 1 1/2 cups)', '2 tablespoons chopped fresh flat-leaf parsley', '2 tablespoon unsalted butter']","['Preheat oven to 200°F. Heat clarified butter and garlic in a large, heavy-bottomed skillet over medium-high. Cook until the sound of sizzling butter has faded, about 3 minutes. Add chicken pieces, and cook until pieces are lightly browned, 5 to 7 minutes, flipping once after 3 minutes. Sprinkle liberally with salt and pepper.', 'Add vinegar, and bring mixture to a brisk boil over medium-high; top chicken with tomatoes and parsley. Reduce heat to low; cover and cook until chicken is cooked through, about 15 minutes, flipping chicken pieces after 7 minutes. Transfer chicken to a baking dish, and keep warm in preheated oven.', 'Using a spoon, skim and discard fat from surface of vinegar mixture in skillet. Continue to cook over low, undisturbed, until reduced by one-third, 3 to 4 minutes. Remove garlic cloves; peel cloves, and mash garlic pulp into sauce with a wooden spoon until blended. Add salt to taste. Whisk in 2 tablespoons butter until creamy.', 'Transfer chicken to a platter; pour sauce over chicken, and serve immediately.']",4,"{'prep': None, 'cook': None, 'total': '1 hr'}","To clarify butter, melt unsalted butter (any quantity you like—it keeps well in the refrigerator) in a saucepan over very low heat until clear. Remove pan from heat, and allow melted butter to stand for a few minutes until solids settle to bottom of pan. If there is any foam, skim it off with a spoon. Carefully pour off and reserve the clear liquid, which is clarified butter.",Paul Bocuse,https://www.foodandwine.com/recipes/poulet-au-vinaigre,
Seared Salmon with Summer Vegetables,"['3/4 cup unsalted butter (6 ounces), divided', '1 cup thinly sliced red onion', '3 garlic cloves (2 thinly sliced and 1 whole), divided', '1/4 pound shiitake mushrooms, stems removed and reserved, caps quartered, divided', '1 medium-size ripe tomato, coarsely chopped', '1 teaspoon whole black peppercorns', '1 bay leaf', '1/3 cup balsamic vinegar', '1/3 cup water', 'Salt', 'Freshly ground black pepper', '3 tablespoons olive oil, divided', '1 pound fresh spinach', '2 cups fresh corn kernels', '1 (1-pound) center-cut salmon fillet, sliced crosswise into 6 strips', '3 tablespoons finely chopped chives']","['Cut 6 tablespoons butter into 1/2-inch cubes, and refrigerate until ready to use. Melt 2 tablespoons butter in a medium nonreactive saucepan over medium-low. Add onion, sliced garlic, shiitake stems, tomato, black peppercorns, and bay leaf, and cook until vegetables are soft but not brown, about 12 minutes. Add balsamic vinegar and 1/3 cup water, increase heat to medium-high, and cook, stirring occasionally, until mixture is syrupy, about 4 minutes.', 'Reduce heat to low, and add cubed butter, 2 to 3 pieces at a time, whisking thoroughly between additions. Season sauce with salt and pepper to taste. Pour sauce through a fine wire-mesh strainer into a bowl; discard solids. Keep sauce warm over a double boiler.', 'Spear whole garlic clove with a dinner fork. Heat 2 tablespoons olive oil in a large skillet over high until just beginning to smoke. Add spinach; cook, stirring using fork with garlic clove, until spinach is wilted. Season with salt and pepper to taste; transfer to a colander to drain. Discard garlic clove.', 'Wipe skillet clean with paper towels. Reduce heat to medium, and add 3 tablespoons butter. Add shiitake caps, and cook, stirring, until softened, about 3 minutes. Stir in corn kernels; cook until completely heated through, about 3 minutes. Season with salt and pepper to taste. Transfer to a bowl, and keep warm.', 'Increase heat to high, and add remaining 1 tablespoon butter and remaining 1 tablespoon olive oil to skillet. Season salmon strips with salt and pepper to taste. Add fish to skillet, and cook until browned but barely cooked through, about 3 minutes per side.', 'Divide spinach among 6 plates; surround with corn and shiitakes. Place a salmon strip on top of spinach, and spoon vinegar sauce on fish. Garnish with a sprinkling of chives; serve immediately.']",6,"{'prep': None, 'cook': None, 'total': '1 hr'}",This recipe serves three to four as a main course and can easily be doubled.,Michael Romano,https://www.foodandwine.com/recipes/seared-salmon-summer-vegetables,
Ultimate Chocolate Mousse,"['8 ounces semisweet dark chocolate, broken into 1/2-inch pieces', '6 large eggs, separated', '3 tablespoon water', '1/4 cup sweet liqueur (such as Chartreuse, amaretto, mandarin, or Grand Marnier)', '2 cups heavy cream', '6 tablespoons granulated sugar, divided', 'Whipped cream and grated chocolate, for garnish']","['Place chocolate in top of a double boiler over simmering water, and cook over low, stirring occasionally, until chocolate is melted. Remove from heat, and set aside.', 'Place egg yolks and 3 tablespoons water in a heavy saucepan; cook over very low, whisking vigorously and constantly, until yolks begin to foam and thicken, about 6 minutes. Whisk in liqueur, and cook, whisking constantly, until sauce thickens enough to coat the back of a spoon, 6 to 8 minutes. Remove from heat. Pour through a fine wire-mesh strainer into a bowl; discard solids.', 'Fold melted chocolate into sauce. Transfer chocolate mixture to a large bowl, and set aside.', 'Beat cream with an electric mixer on high speed until stiff peaks form, 2 to 3 minutes, beating in 2 tablespoons sugar toward the end. Fold into chocolate mixture.', 'Using electric mixer fitted with the whisk attachment, beat egg whites on high speed until soft peaks start to form, about 1 minute. Beat in remaining 1/4 cup sugar and continue beating until stiff peaks form, 2 to 3 minutes. Fold into chocolate-cream mixture.', 'Spoon mousse into a bowl, and chill until ready to serve, 4 hours or up to 24 hours. Garnish servings with whipped cream and grated chocolate.']",12 servings,"{'prep': '30 mins', 'total': '4 hrs 30 mins'}","The key to this recipe is to use the very best semisweet dark chocolate you can find—we like Valrhona. The better the chocolate, the better the mousse.",Craig Claiborne,https://www.foodandwine.com/recipes/ultimate-chocolate-mousse,
Seaside,"['1 1/2 ounces tequila, preferably Tapatio Blanco', ""1 ounce yuzu syrup (see Editor's Note)"", ""1 ounce seaweed water (see Editor's Note)"", '1/2 ounce lemon juice', '3 dashes orange bitters', 'soda water, to top']","['Combine all ingredients, except the soda water, in a highball glass over ice.', 'Top with soda water.']",1 serving,{},"Yuzu Syrup: Blend 3 ounces pure glucose powder, 3 ounces agave syrup, 3 ounces yuzu juice, and 3 ounces water with a hand blender until dissolved. Seaweed Water: Add 1/2 ounce dried seaweed to 1 3/4 cups water at room temperature and allow it to rehydrate until it's tripled in size. Strain, reserving the water.",Team Lyan,https://punchdrink.com/recipes/seaside/,
Bánh Xèo (Sizzling Pancakes),"['2 red Thai chiles or 1 medium jalapeño, thickly sliced', '2 medium garlic cloves, thickly sliced', '2 tablespoons granulated sugar', '2 tablespoons fish sauce', '2 tablespoons fresh lime juice', '2 tablespoons water', '2 cups rice flour (about 10 1/2 ounces)', '2 1/4 cups cold water', '1 scallion, thinly sliced', '1/4 teaspoon ground turmeric', '3/4 cup plus 3 tablespoons vegetable oil, divided', '1 pound pork tenderloin, cut crosswise into very thin slices (about 30 slices), divided', '1/2 pound peeled and deveined raw medium shrimp (about 30 shrimp), divided', '2 cups thinly sliced fresh shiitake mushroom caps, divided', '1 cup thinly sliced yellow onion, divided', '1 1/4 teaspoons kosher salt, divided', '1/4 teaspoons black pepper, divided', '2 1/2 cups mung bean sprouts (about 7 ounces), divided']","['Make the dipping sauce: Using a mortar and pestle, pound chiles, garlic, and sugar until mixture resembles a slurry, about 3 minutes. Stir in fish sauce, lime juice, and 2 tablespoons water until blended. Set aside.', 'Make the pancakes: Whisk together rice flour and 2 1/4 cups cold water in a medium bowl. Whisk in scallion and turmeric until blended. Set aside.', 'Preheat oven to 200°F. Heat 1 1/2 tablespoons oil in a 10-inch nonstick skillet over high. Add 3 pork slices, 3 shrimp, and a few mushroom and onion slices. Sprinkle with 1/8 teaspoon salt and 1/8 teaspoon pepper. Cook until pork and vegetables are lightly browned, about 30 seconds per side.', 'Stir rice flour mixture. Remove skillet from heat. Holding skillet at an angle, pour in 1/3 cup rice flour mixture, and swirl to evenly coat bottom of skillet.', 'Return skillet to heat over medium. Cover and cook, undisturbed, until sides of pancake turn deep brown and curl up, about 5 minutes. Remove skillet from heat, and sprinkle 1/4 cup bean sprouts over pancake. Fold in half, and transfer to a baking sheet; keep warm in preheated oven. Repeat procedure with remaining oil, pork, shrimp, mushrooms, onion, salt, pepper, and bean sprouts to make 9 more pancakes. Arrange pancakes on a large platter, and serve warm with dipping sauce.']",10,{'total': '2 hrs'},,Binh Duong,https://www.foodandwine.com/recipes/sizzling-pancakes,
Shrimp Creole,"['1/3 cup kosher salt', '1/3 cup hot paprika', '1/4 cup freshly ground black pepper', '1/4 cup garlic powder', '3 tablespoons onion powder or dried minced onion', '2 tablespoons cayenne pepper', '2 tablespoons dried thyme', '2 tablespoons dried oregano', '2 tablespoons unsalted butter', '1 medium yellow onion, chopped', '1 medium green bell pepper, chopped', '2 celery stalks, chopped', '5 garlic cloves, finely chopped', '1 1/4 cups chicken stock or canned chicken broth', '4 teaspoons Creole seasoning, divided', '1 teaspoon hot paprika', '1/8 teaspoon cayenne pepper', '4 fresh bay leaves', '2 cups coarsely chopped tomatoes', '3 scallions, chopped', '1 tablespoon Worcestershire sauce', '1 teaspoon Louisiana-style hot sauce (such as Crystal)', '1/2 teaspoon kosher salt', '2 tablespoons vegetable oil', '1 1/2 pounds peeled and deveined raw medium shrimp']","['Add kosher salt, hot paprika, black pepper, garlic powder, onion powder, cayenne pepper, thyme, and oregano to a bowl and whisk to combine. Set aside Creole seasoning.', 'In a large skillet, melt the butter over medium heat. Add the onion, bell pepper, celery, and garlic. Sauté until the vegetables are tender, about 5 minutes.', 'Stir in the chicken stock, 4 teaspoons of the Creole seasoning, hot paprika, cayenne pepper, and bay leaves. Bring to a boil, then reduce the heat and simmer until the sauce thickens, about 20 minutes.', 'Add the tomatoes, scallions, Worcestershire sauce, hot sauce, and salt. Simmer for another 10 minutes.', 'In a separate pan, heat the vegetable oil over medium-high heat. Add the shrimp and cook until they are pink and just cooked through, about 3-4 minutes.', 'Add the cooked shrimp to the sauce and stir to combine. Cook for an additional 2 minutes to allow the flavors to meld.', 'Remove the bay leaves before serving.']",Servings: 4,"{'prep': None, 'cook': None, 'total': '45 mins'}","[""You will make more Creole seasoning than you'll need for the dish — the recipe calls for 4 to 5 teaspoons. Save the remainder in an airtight container for later use."", 'The Creole sauce can be made through Step 3 and chilled for up to four days, or can be frozen for up to a month.']",Emeril Lagasse,https://www.foodandwine.com/recipes/shrimp-creole-emeril-lagasse,
Whole Roasted Miznon Cauliflower,"['1 (1 1/2- to 2-pound) head cauliflower with leaves', '2 gallons water', '7 tablespoons sel gris, divided', '3 tablespoons best-quality extra-virgin olive oil, divided']","['Preheat oven to 550°F with oven rack in center of oven. Trim stem of cauliflower, keeping leaves intact, so it will sit level on a rimmed baking sheet. Bring 2 gallons water to a boil in a large stockpot over high heat. Stir in 6 1/2 tablespoons sel gris until dissolved.', 'Add cauliflower to water; place a heatproof ceramic plate on top of cauliflower to keep it submerged. Boil until tender and a fork inserted in cauliflower meets no resistance, 12 to 13 minutes. Using a spider, gently lift cauliflower from water and let drain in spider, allowing water to drip back into pot. Place cauliflower, stem side down, on a rimmed baking sheet. Let stand until cauliflower has cooled slightly and is dry to the touch, about 15 minutes.', 'Rub 1 tablespoon olive oil between your hands, then rub over cauliflower to apply a thin, even layer. (Alternatively, use a brush to spread oil evenly over cauliflower.) Sprinkle remaining 1 1/2 teaspoons sel gris over cauliflower (salt might clump in some places). Bake in preheated oven until browned, about 25 minutes. Remove from oven and carefully rub with remaining 2 tablespoons olive oil. Serve hot.']",2 servings,"{'prep': '20 mins', 'cook': None, 'total': '1 hr 50 mins'}","Miznon's Whole Roasted Cauliflower calls for the best quality ingredients, each essential for compiling the dish: fresh cauliflower with tight, closed florets surrounded by a crown of crisp leaves; sel gris (coarse gray sea salt), which packs a mineral flavor in bits of crunchy saltiness; and spicy, fruity extra-virgin olive oil.",Eyal Shani,https://www.foodandwine.com/recipes/miznons-whole-roasted-cauliflower,
BA's Best Morning Buns,"['1 ¼-ounce envelope active dry yeast (about 2¼ teaspoons)', '1 cup whole milk, warmed, plus ¼ chilled milk', '1 teaspoon plus ¼ cup honey', '4 large eggs, separated, plus 1 large egg yolk', '3½ cups (or more) bread flour, divided', '1 cup whole wheat flour', '2 teaspoons Diamond Crystal or 1 teaspoon Morton kosher salt', '2 teaspoons finely grated orange zest (optional)', '2 teaspoons vanilla extract', '1 cup (2 sticks) unsalted butter, cut into pieces, room temperature', '¾ cup (packed) light brown sugar', '1 tablespoon ground cinnamon', '¾ teaspoon ground cardamom', '½ cup honey, divided', '12 tablespoons (1½ sticks) unsalted butter, divided', 'Bread flour (for surface)', 'Nonstick vegetable oil spray', 'Fine sanding sugar or granulated sugar (for sprinkling)']","['Whisk yeast, 1 cup warm milk, and 1 tsp. honey in the bowl of an electric mixer fitted with paddle attachment to combine, then let sit until foamy, about 5 minutes. Add egg whites, 2 cups bread flour, and remaining ¼ cup honey and beat with paddle on medium-high speed until mixture is very light and thick, about 3 minutes. Remove paddle, scrape mixture back into bottom of bowl, and sprinkle whole wheat flour and 1½ cups bread flour over top (do not stir). Place bowl in a warm spot and let sit uncovered until mixture is bubbling up around flour, 30–40 minutes.', 'Add salt, orange zest (if using), vanilla extract, 5 egg yolks, and remaining ¼ cup cold milk to mixture and mix with dough hook on low speed until a shaggy dough forms. Increase speed to medium and work dough until it is smooth, soft, and elastic and climbing up the hook, 8–10 minutes (it will clear the sides of the bowl but still stick slightly to the bottom; if after 5 minutes the dough is still very sticky, add bread flour a tablespoonful at a time until dough is just tacky). Reduce mixer speed to medium-low and add butter pieces one at a time, letting dough absorb butter completely before adding the next piece. This part takes a while, so be patient. Dough should be very smooth and slightly tacky and have a soft, buoyant texture. Cover and chill at least 8 hours and up to 16 hours.', 'Cook brown sugar, cinnamon, cardamom, ¼ cup honey, and 8 Tbsp. butter in a small saucepan over low heat, stirring constantly, just until butter is melted and mixture is smooth. Let cool.', 'Punch down dough and turn out onto a lightly floured surface. Divide in half, place 1 piece back into bowl, cover, and chill while you work. Roll out remaining piece of dough on a sheet of lightly floured parchment paper to roughly a 16x12"" rectangle. Spread half of brown sugar mixture over dough. Starting at side closest to you (make sure it’s a long side) and using the parchment paper to help you, roll dough into a tight log. If dough gets too warm or sticky to work with, slide (with parchment) onto a baking sheet and chill until firm, then proceed. Place log, seam side down, on a rimmed baking sheet. Chill until firm, 20–30 minutes.', 'Repeat process with second half of dough and remaining brown sugar mixture. Spray cups of two 12-cup muffin pans with nonstick spray. Place a rack in center of oven and preheat to 350°.', 'Trim chilled dough logs about ½"" from ends and cut each on a slight diagonal into 12 equal pieces. Place, cut side up, in prepared muffin pan and cover loosely with plastic wrap. Let sit at room temperature until puffed and expanded to edges of muffin cups (dough will spring back when poked but hold a slight indentation), 25–35 minutes.', 'Bake buns, rotating pans once left to right and front to back, until golden brown all over, 20–25 minutes.', 'Meanwhile, heat remaining 4 Tbsp. butter and remaining ¼ cup honey in a small saucepan over low, stirring a bit, until smooth. Remove from heat.', 'Pull buns out of oven and brush tops with butter mixture; sprinkle with sanding sugar. Transfer buns to a wire rack (if sugar cools in pan, it will harden and buns will stick); let cool.']",Makes 24,"{'prep': None, 'cook': '20-25 minutes', 'total': None}",Too many morning buns for your crowd? This recipe halves easily.,Claire Saffitz,https://www.bonappetit.com/recipe/bas-best-morning-buns?utm_campaign=likeshopme&mbid=social_instagram&utm_medium=instagram&utm_source=www.instagram.com/p/Bm_JwY2nduY/&utm_content=www.instagram.com/p/Bm_JwY2nduY/,
German Potato Dumplings (Kartoffelklöße),"['2 pounds starchy potatoes, such as russets or Idaho', '1 cup plus 2 tablespoons (172 grams) potato starch, or more as needed', '1 1/2 teaspoons salt, or to taste, plus more for the cooking water', '1/8 teaspoon ground nutmeg, preferably freshly grated', '2 large eggs, lightly beaten', '4 to 6 tablespoons melted butter', 'Buttered breadcrumbs, freshly ground black pepper, and/or parsley, for garnish, optional']","['Gather the ingredients.', 'Peel 2 pounds starchy potatoes and cut them into large chunks.', 'Put the potatoes in a large saucepan, cover them with salted water, and bring them to a boil over high heat. Lower the heat to medium; cover the pan and cook for about 20 to 25 minutes until the potatoes are tender. Drain well.', 'Rice the potatoes and spread them out on a large baking sheet or waxed paper; let them cool for about 30 minutes or until completely cooled. You should have about 6 cups (800 grams) of riced potatoes.', 'Bring a large pot of salted water to a boil.']",12 to 14 dumplings,"{'prep': '20 mins', 'cook': '45 mins', 'total': '95 mins'}","A tasty recipe with minimal ingredients! They are mild in flavor and the breadcrumbs bring crunch and a balance to the texture. These dumplings go great with rich sauces such as a gravy or mushroom sauce, or you can serve them as a side dish to a meaty stew.",Diana Rattray,https://www.thespruceeats.com/bavarian-potato-dumplings-1447183,
,,,,,,,https://www.mydomaine.com/one-pot-vegetarian-recipes,Expecting value: line 1 column 1 (char 0)
